source_soil_id,source_weather_id,quality_tier,source_dataset,join_method,label_confidence,feature_confidence,crop
GOLD_SOIL_0001,GOLD_WX_0001,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0002,GOLD_WX_0002,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0003,GOLD_WX_0003,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0004,GOLD_WX_0004,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0005,GOLD_WX_0005,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0006,GOLD_WX_0006,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0007,GOLD_WX_0007,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0008,GOLD_WX_0008,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0009,GOLD_WX_0009,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0010,GOLD_WX_0010,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0011,GOLD_WX_0011,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0012,GOLD_WX_0012,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0013,GOLD_WX_0013,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0014,GOLD_WX_0014,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0015,GOLD_WX_0015,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0016,GOLD_WX_0016,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0017,GOLD_WX_0017,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0018,GOLD_WX_0018,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0019,GOLD_WX_0019,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0020,GOLD_WX_0020,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0021,GOLD_WX_0021,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0022,GOLD_WX_0022,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0023,GOLD_WX_0023,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0024,GOLD_WX_0024,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0025,GOLD_WX_0025,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0026,GOLD_WX_0026,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0027,GOLD_WX_0027,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0028,GOLD_WX_0028,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0029,GOLD_WX_0029,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0030,GOLD_WX_0030,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0031,GOLD_WX_0031,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0032,GOLD_WX_0032,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0033,GOLD_WX_0033,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0034,GOLD_WX_0034,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0035,GOLD_WX_0035,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0036,GOLD_WX_0036,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0037,GOLD_WX_0037,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0038,GOLD_WX_0038,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0039,GOLD_WX_0039,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0040,GOLD_WX_0040,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0041,GOLD_WX_0041,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0042,GOLD_WX_0042,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0043,GOLD_WX_0043,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
