District,Soil_Color,N,P,K,pH,Rainfall,Temperature,Crop,Fertilizer,OC,EC,B,Fe,Mn,Cu,Zn,S,District_Normal_Rainfall,Humidity,N_P_Ratio,N_K_Ratio,P_K_Ratio,Rainfall_Deviation,OC_Class,Soil_Health_Score,Growing_Season
Solapur,Black,20,45,20,6.5,800,30,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,76.38,0.4443,0.9995,2.2489,0.6629,Medium,5,Rabi
Kolhapur,Black,40,25,10,6.0,600,20,Chickpea,18:46:00 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,68.16,1.5994,3.996,2.4975,-0.6538,High,7,Rabi
Solapur,Black,25,45,20,6.5,800,30,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,72.96,0.5554,1.2494,2.2489,0.6629,Medium,5,Rabi
Solapur,Black,20,40,20,6.0,700,25,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,73.42,0.4999,0.9995,1.999,0.455,Medium,5,Rabi
Kolhapur,Black,45,30,10,6.5,700,25,Chickpea,Sulphur,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,75.11,1.4995,4.4955,2.997,-0.5961,High,7,Rabi
Pune,Black,40,50,25,6.0,900,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,83.01,0.7998,1.5994,1.9992,0.0446,Medium,6,Rabi
Solapur,Black,20,40,30,6.0,700,25,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,75.12,0.4999,0.6664,1.3329,0.455,Medium,5,Rabi
Kolhapur,Black,45,30,15,6.5,700,25,Chickpea,18:46:00 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,77.66,1.4995,2.998,1.9987,-0.5961,High,7,Rabi
Satara,Black,45,30,10,6.5,600,25,Chickpea,MOP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,67.97,1.4995,4.4955,2.997,-0.323,Low,5,Rabi
Pune,Black,30,50,20,6.5,900,20,Chickpea,MOP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,84.33,0.5999,1.4993,2.4988,0.0446,Medium,5,Rabi
Pune,Black,35,40,25,7.5,700,20,Chickpea,MOP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,76.42,0.8748,1.3994,1.5994,-0.1876,Medium,5,Rabi
Solapur,Black,25,40,25,6.0,800,25,Chickpea,MOP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,78.46,0.6248,0.9996,1.5994,0.6629,Medium,5,Rabi
Pune,Black,30,45,20,7.5,800,20,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,82.52,0.6665,1.4993,2.2489,-0.0715,Medium,5,Rabi
Pune,Black,30,45,25,6.5,800,20,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,81.05,0.6665,1.1995,1.7993,-0.0715,Medium,5,Rabi
Solapur,Black,20,50,30,7.0,700,35,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,74.32,0.3999,0.6664,1.6661,0.455,Medium,5,Rabi
Satara,Black,50,30,15,6.5,600,25,Chickpea,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,67.78,1.6661,3.3311,1.9987,-0.323,Low,5,Rabi
Solapur,Black,25,40,30,6.0,700,25,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,75.55,0.6248,0.8331,1.3329,0.455,Medium,5,Rabi
Pune,Black,35,50,30,7.0,900,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,87.99,0.6999,1.1663,1.6661,0.0446,Medium,5,Rabi
Kolhapur,Black,40,30,10,6.5,700,25,Chickpea,Sulphur,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,76.86,1.3329,3.996,2.997,-0.5961,High,7,Rabi
Kolhapur,Black,50,30,15,6.5,700,25,Chickpea,18:46:00 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,76.11,1.6661,3.3311,1.9987,-0.5961,High,7,Rabi
Solapur,Black,30,45,20,6.5,800,30,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,79.37,0.6665,1.4993,2.2489,0.6629,Medium,5,Rabi
Satara,Black,40,25,10,6.0,500,20,Chickpea,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,64.77,1.5994,3.996,2.4975,-0.4358,Low,5,Rabi
Pune,Black,35,50,20,6.5,900,20,Chickpea,MOP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,88.85,0.6999,1.7491,2.4988,0.0446,Medium,5,Rabi
Pune,Black,40,40,20,6.0,700,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,78.4,0.9998,1.999,1.999,-0.1876,Medium,6,Rabi
Satara,Black,45,25,10,6.0,500,20,Chickpea,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,65.25,1.7993,4.4955,2.4975,-0.4358,Low,5,Rabi
Solapur,Black,25,45,25,6.5,800,30,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,79.0,0.5554,0.9996,1.7993,0.6629,Medium,5,Rabi
Satara,Black,40,30,15,6.5,600,25,Chickpea,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,72.56,1.3329,2.6649,1.9987,-0.323,Low,5,Rabi
Satara,Black,50,25,15,6.0,500,20,Chickpea,MOP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,68.28,1.9992,3.3311,1.6656,-0.4358,Low,5,Rabi
Satara,Black,50,30,10,6.5,600,25,Chickpea,MOP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,68.38,1.6661,4.995,2.997,-0.323,Low,5,Rabi
Kolhapur,Black,45,25,15,6.0,600,20,Chickpea,Sulphur,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,75.33,1.7993,2.998,1.6656,-0.6538,High,7,Rabi
Solapur,Black,25,50,20,7.0,800,35,Chickpea,MOP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,79.27,0.4999,1.2494,2.4988,0.6629,Medium,5,Rabi
Pune,Black,40,45,20,7.5,800,20,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,80.88,0.8887,1.999,2.2489,-0.0715,Medium,6,Rabi
Satara,Black,40,25,15,6.0,500,20,Chickpea,MOP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,66.49,1.5994,2.6649,1.6656,-0.4358,Low,5,Rabi
Pune,Black,30,40,30,7.0,700,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,75.22,0.7498,0.9997,1.3329,-0.1876,Medium,5,Rabi
Solapur,Black,25,50,30,7.0,700,35,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,74.88,0.4999,0.8331,1.6661,0.455,Medium,5,Rabi
Pune,Black,40,45,30,6.0,800,15,Chickpea,MOP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,84.07,0.8887,1.3329,1.4995,-0.0715,Medium,6,Rabi
Solapur,Black,25,45,30,6.5,700,30,Chickpea,MOP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,73.61,0.5554,0.8331,1.4995,0.455,Medium,5,Rabi
Pune,Black,35,45,25,6.5,800,20,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,77.91,0.7776,1.3994,1.7993,-0.0715,Medium,5,Rabi
Solapur,Black,25,40,20,6.0,700,25,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,74.38,0.6248,1.2494,1.999,0.455,Medium,5,Rabi
Pune,Black,40,45,25,6.5,800,20,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,81.33,0.8887,1.5994,1.7993,-0.0715,Medium,6,Rabi
Kolhapur,Black,40,30,15,6.5,700,25,Chickpea,18:46:00 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,74.5,1.3329,2.6649,1.9987,-0.5961,High,7,Rabi
Solapur,Black,30,45,25,6.5,800,30,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,77.37,0.6665,1.1995,1.7993,0.6629,Medium,5,Rabi
Solapur,Black,30,50,25,7.0,700,35,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,73.42,0.5999,1.1995,1.9992,0.455,Medium,5,Rabi
Kolhapur,Black,50,25,15,6.0,600,20,Chickpea,Sulphur,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,69.71,1.9992,3.3311,1.6656,-0.6538,High,7,Rabi
Pune,Black,40,40,25,7.5,700,20,Chickpea,MOP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,76.42,0.9998,1.5994,1.5994,-0.1876,Medium,6,Rabi
Kolhapur,Black,40,25,15,6.0,600,20,Chickpea,Sulphur,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,71.91,1.5994,2.6649,1.6656,-0.6538,High,7,Rabi
Solapur,Black,20,50,25,7.0,700,35,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,76.6,0.3999,0.7997,1.9992,0.455,Medium,5,Rabi
Pune,Black,30,50,25,6.0,900,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,87.99,0.5999,1.1995,1.9992,0.0446,Medium,5,Rabi
Pune,Black,35,45,30,6.0,800,15,Chickpea,MOP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,82.47,0.7776,1.1663,1.4995,-0.0715,Medium,5,Rabi
Satara,Black,45,25,15,6.0,500,20,Chickpea,MOP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,67.0,1.7993,2.998,1.6656,-0.4358,Low,5,Rabi
Pune,Black,35,50,25,6.0,900,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,87.58,0.6999,1.3994,1.9992,0.0446,Medium,5,Rabi
Solapur,Black,20,45,25,6.5,800,30,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,79.43,0.4443,0.7997,1.7993,0.6629,Medium,5,Rabi
Solapur,Black,20,50,20,7.0,800,35,Chickpea,MOP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,73.99,0.3999,0.9995,2.4988,0.6629,Medium,5,Rabi
Satara,Black,50,25,10,6.0,500,20,Chickpea,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,65.36,1.9992,4.995,2.4975,-0.4358,Low,5,Rabi
Solapur,Black,30,45,30,6.5,700,30,Chickpea,MOP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,73.47,0.6665,0.9997,1.4995,0.455,Medium,5,Rabi
