district_name,lgd_code,division,geoportal_spelling
AHMADNAGAR,472,Nashik,AHMADNAGAR
AKOLA,473,Amravati,AKOLA
AMRAVATI,474,Amravati,AMARAVATI
AURANGABAD,475,Aurangabad,AURANGABAD
BHANDARA,476,Nagpur,BHANDARA
BEED,477,Aurangabad,BID
BULDHANA,478,Amravati,BULDHANA
CHANDRAPUR,479,Nagpur,CHANDRAPUR
DHULE,480,Nashik,DHULE
GADCHIROLI,481,Nagpur,GADCHIROLI
GONDIA,482,Nagpur,GONDIYA
HINGOLI,483,Aurangabad,HINGOLI
JALGAON,484,Nashik,JALGAON
JALNA,485,Aurangabad,JALNA
KOLHAPUR,486,Pune,KOLHAPUR
LATUR,487,Aurangabad,LATUR
MUMBAI CITY,488,Konkan,MUMBAI CITY
NAGPUR,490,Nagpur,NAGPUR
NANDED,491,Aurangabad,NANDED
NANDURBAR,492,Nashik,NANDURBAR
NASHIK,493,Nashik,NASIK
OSMANABAD,494,Aurangabad,OSMANABAD
PARBHANI,495,Aurangabad,PARBHANI
PUNE,496,Pune,PUNE
RAIGAD,497,Konkan,RAIGARH
RATNAGIRI,498,Konkan,RATNAGIRI
SANGLI,499,Pune,SANGLI
SATARA,500,Pune,SATARA
SINDHUDURG,501,Konkan,SINDHUDURG
SOLAPUR,502,Pune,SOLAPUR
MUMBAI SUBURBAN,489,Konkan,SUBURBAN MUMBAI
THANE,503,Konkan,THANE
WARDHA,504,Nagpur,WARDHA
WASHIM,505,Amravati,WASHIM
YAVATMAL,506,Amravati,YAVATMAL
