Division,District,Year,Season,Actual_Rainfall,Normal_Rainfall,Departure,Departure_Percentage,Classification,June_Normal,June_Actual,June_Percentage,July_Normal,July_Actual,July_Percentage,August_Normal,August_Actual,August_Percentage,September_Normal,September_Actual,September_Percentage,Source
Amravati,Akola,2015,Monsoon,551.3,693.7,-142.4,-20.53,Deficit,136.9,129.3,94.4,223.2,58.1,26.0,215.5,264.3,122.6,118.1,99.6,84.3,Maharain Portal
Amravati,Amravati,2015,Monsoon,701.9,862.0,-160.1,-18.57,Normal,145.7,193.2,132.6,277.4,114.4,41.2,285.4,286.4,100.4,153.5,107.9,70.3,Maharain Portal
Amravati,Buldhana,2015,Monsoon,522.2,659.4,-137.2,-20.81,Deficit,139.3,111.2,79.8,192.2,30.5,15.9,207.4,216.4,104.3,120.5,164.1,136.2,Maharain Portal
Amravati,Washim,2015,Monsoon,611.4,789.0,-177.6,-22.51,Deficit,166.4,193.6,116.3,243.6,53.4,21.9,236.1,240.9,102.0,142.9,123.5,86.4,Maharain Portal
Amravati,Yavatmal,2015,Monsoon,479.1,805.0,-325.9,-40.48,Deficit,163.9,120.7,73.6,256.7,55.8,21.7,253.7,159.3,62.8,130.7,143.3,109.6,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2015,Monsoon,297.5,566.1,-268.6,-47.45,Deficit,128.4,72.8,56.7,127.7,12.4,9.7,138.0,88.2,63.9,172.0,124.1,72.2,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2015,Monsoon,488.4,581.7,-93.3,-16.04,Normal,125.2,170.2,135.9,152.2,24.5,16.1,153.8,90.6,58.9,150.5,203.1,135.0,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2015,Monsoon,323.7,603.1,-279.4,-46.33,Deficit,126.9,73.5,57.9,137.1,18.7,13.6,154.4,95.7,62.0,184.7,135.8,73.5,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2015,Monsoon,559.8,795.3,-235.5,-29.61,Deficit,169.2,157.2,92.9,230.2,44.0,19.1,241.2,165.9,68.8,154.7,192.7,124.6,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2015,Monsoon,447.7,603.1,-155.4,-25.77,Deficit,132.6,132.0,99.5,166.4,15.6,9.4,162.3,132.9,81.9,141.8,167.2,117.9,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2015,Monsoon,361.9,706.0,-344.1,-48.74,Deficit,135.4,83.7,61.8,186.9,28.5,15.2,202.7,100.3,49.5,181.0,149.4,82.5,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2015,Monsoon,455.6,814.4,-358.8,-44.06,Deficit,155.4,156.5,100.7,244.3,51.7,21.2,247.3,129.5,52.4,167.4,117.9,70.4,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2015,Monsoon,326.9,761.3,-434.4,-57.06,Deficit,145.3,79.9,55.0,219.2,23.5,10.7,227.8,85.3,37.4,169.0,138.2,81.8,Maharain Portal
Konkan,Palghar,2015,Monsoon,1699.8,2305.4,-605.6,-26.27,Deficit,411.9,602.8,146.3,905.0,651.8,72.0,669.7,210.6,31.4,318.8,234.6,73.6,Maharain Portal
Konkan,Raigad,2015,Monsoon,1731.8,3148.6,-1416.8,-45.0,Deficit,655.8,763.4,116.4,1206.2,460.8,38.2,874.5,304.8,34.9,412.1,202.8,49.2,Maharain Portal
Konkan,Ratnagiri,2015,Monsoon,2150.6,3195.1,-1044.5,-32.69,Deficit,813.5,998.4,122.7,1151.6,418.4,36.3,835.9,448.7,53.7,394.1,285.1,72.3,Maharain Portal
Konkan,Sindhudurg,2015,Monsoon,1966.1,2940.5,-974.4,-33.14,Deficit,880.1,777.0,88.3,1043.6,502.0,48.1,689.2,501.6,72.8,327.6,185.5,56.6,Maharain Portal
Konkan,Thane,2015,Monsoon,1749.2,2433.4,-684.2,-28.12,Deficit,461.9,524.1,113.5,942.3,683.5,72.5,691.3,273.6,39.6,337.9,268.0,79.3,Maharain Portal
Nagpur,Bhandara,2015,Monsoon,957.8,1157.0,-199.2,-17.22,Normal,189.3,254.2,134.3,382.6,221.9,58.0,387.6,322.0,83.1,197.5,159.7,80.9,Maharain Portal
Nagpur,Chandrapur,2015,Monsoon,747.5,1084.0,-336.5,-31.04,Deficit,183.5,212.7,115.9,357.2,113.0,31.6,362.9,235.4,64.9,180.4,186.4,103.3,Maharain Portal
Nagpur,Gadchiroli,2015,Monsoon,1000.0,1254.1,-254.1,-20.26,Deficit,210.9,381.7,181.0,427.9,156.5,36.6,426.5,295.4,69.3,188.8,166.4,88.1,Maharain Portal
Nagpur,Gondia,2015,Monsoon,1068.7,1220.3,-151.6,-12.42,Normal,192.8,221.5,114.9,414.9,275.5,66.4,413.9,346.8,83.8,198.7,224.9,113.2,Maharain Portal
Nagpur,Nagpur,2015,Monsoon,938.2,920.4,17.8,1.93,Normal,166.3,289.4,174.0,304.4,173.3,56.9,281.3,343.8,122.2,168.4,131.7,78.2,Maharain Portal
Nagpur,Wardha,2015,Monsoon,779.0,874.5,-95.5,-10.92,Normal,174.1,197.4,113.4,273.6,157.3,57.5,271.6,292.8,107.8,155.2,131.5,84.7,Maharain Portal
Nashik,Ahmednagar,2015,Monsoon,301.8,448.1,-146.3,-32.65,Deficit,108.2,93.3,86.2,97.5,31.5,32.3,95.4,26.4,27.7,147.0,150.6,102.4,Maharain Portal
Nashik,Dhule,2015,Monsoon,448.2,535.1,-86.9,-16.24,Normal,121.5,131.9,108.6,170.9,92.6,54.2,133.2,61.5,46.2,109.5,162.2,148.1,Maharain Portal
Nashik,Jalgaon,2015,Monsoon,419.0,632.6,-213.6,-33.77,Deficit,123.7,114.1,92.2,189.2,42.9,22.7,196.1,127.9,65.2,123.6,134.1,108.5,Maharain Portal
Nashik,Nandurbar,2015,Monsoon,688.8,860.4,-171.6,-19.94,Deficit,155.9,151.5,97.2,305.6,266.6,87.2,252.2,37.4,14.8,146.7,233.3,159.0,Maharain Portal
Nashik,Nashik,2015,Monsoon,484.8,933.8,-449.0,-48.08,Deficit,174.4,124.6,71.4,308.9,145.0,46.9,266.9,47.9,17.9,183.6,167.3,91.1,Maharain Portal
Pune,Kolhapur,2015,Monsoon,634.9,1733.1,-1098.2,-63.37,Large Deficit,362.9,335.8,92.5,685.5,134.0,19.5,485.9,122.0,25.1,198.8,43.1,21.7,Maharain Portal
Pune,Pune,2015,Monsoon,582.8,861.6,-278.8,-32.36,Deficit,176.2,203.0,115.2,309.3,147.9,47.8,219.6,59.1,26.9,156.5,172.8,110.4,Maharain Portal
Pune,Sangli,2015,Monsoon,280.5,514.5,-234.0,-45.48,Deficit,129.0,129.1,100.1,135.5,21.9,16.2,111.4,25.4,22.8,138.6,104.1,75.1,Maharain Portal
Pune,Satara,2015,Monsoon,539.5,886.2,-346.7,-39.12,Deficit,194.1,274.4,141.4,307.2,100.4,32.7,224.8,60.4,26.9,160.1,104.3,65.1,Maharain Portal
Pune,Solapur,2015,Monsoon,193.9,481.1,-287.2,-59.7,Large Deficit,102.5,60.7,59.2,94.8,4.9,5.2,107.5,33.2,30.9,176.3,95.1,53.9,Maharain Portal
Amravati,Akola,2016,Monsoon,740.6,693.7,46.9,6.76,Normal,136.9,143.1,104.5,223.2,379.9,170.2,215.5,106.3,49.3,118.1,111.3,94.2,Maharain Portal
Amravati,Amravati,2016,Monsoon,796.3,862.0,-65.7,-7.62,Normal,145.7,125.2,85.9,277.4,412.3,148.6,285.4,109.6,38.4,153.5,149.2,97.2,Maharain Portal
Amravati,Buldhana,2016,Monsoon,651.1,659.4,-8.3,-1.26,Normal,139.3,114.6,82.3,192.2,313.6,163.2,207.4,86.2,41.6,120.5,136.7,113.4,Maharain Portal
Amravati,Washim,2016,Monsoon,816.4,789.0,27.4,3.47,Normal,166.4,149.7,90.0,243.6,379.8,155.9,236.1,123.1,52.1,142.9,163.8,114.6,Maharain Portal
Amravati,Yavatmal,2016,Monsoon,732.1,805.0,-72.9,-9.06,Normal,163.9,143.4,87.5,256.7,345.2,134.5,253.7,84.7,33.4,130.7,158.8,121.5,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2016,Monsoon,707.3,566.1,141.2,24.94,Excess,128.4,114.3,89.0,127.7,156.4,122.5,138.0,69.6,50.4,172.0,367.0,213.4,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2016,Monsoon,543.4,581.7,-38.3,-6.58,Normal,125.2,81.8,65.3,152.2,222.3,146.1,153.8,82.2,53.4,150.5,157.1,104.4,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2016,Monsoon,745.3,603.1,142.2,23.58,Excess,126.9,127.0,100.1,137.1,202.3,147.6,154.4,63.1,40.9,184.7,352.9,191.1,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2016,Monsoon,829.5,795.3,34.2,4.3,Normal,169.2,190.0,112.3,230.2,332.0,144.2,241.2,90.6,37.6,154.7,216.9,140.2,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2016,Monsoon,723.3,603.1,120.2,19.93,Normal,132.6,121.2,91.4,166.4,277.1,166.5,162.3,85.9,52.9,141.8,239.1,168.6,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2016,Monsoon,949.6,706.0,243.6,34.5,Excess,135.4,156.4,115.5,186.9,292.2,156.3,202.7,76.2,37.6,181.0,424.8,234.7,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2016,Monsoon,970.1,814.4,155.7,19.12,Normal,155.4,214.5,138.0,244.3,351.7,144.0,247.3,102.4,41.4,167.4,301.5,180.1,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2016,Monsoon,743.9,761.3,-17.4,-2.29,Normal,145.3,119.5,82.2,219.2,244.3,111.5,227.8,82.8,36.3,169.0,297.3,175.9,Maharain Portal
Konkan,Palghar,2016,Monsoon,2973.8,2305.4,668.4,28.99,Excess,411.9,435.9,105.8,905.0,1142.7,126.3,669.7,829.6,123.9,318.8,565.6,177.4,Maharain Portal
