Division,District,Maharain_District_Code
Amravati,Akola,25
Amravati,Amravati,27
Amravati,Buldhana,24
Amravati,Washim,26
Amravati,Yavatmal,28
Chhatrapati Sambhajinagar,Beed,18
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,16
Chhatrapati Sambhajinagar,Dharashiv,20
Chhatrapati Sambhajinagar,Hingoli,23
Chhatrapati Sambhajinagar,Jalna,17
Chhatrapati Sambhajinagar,Latur,19
Chhatrapati Sambhajinagar,Nanded,21
Chhatrapati Sambhajinagar,Parbhani,22
Konkan,Palghar,35
Konkan,Raigad,3
Konkan,Ratnagiri,4
Konkan,Sindhudurg,5
Konkan,Thane,2
Nagpur,Bhandara,31
Nagpur,Chandrapur,33
Nagpur,Gadchiroli,34
Nagpur,Gondia,32
Nagpur,Nagpur,30
Nagpur,Wardha,29
Nashik,Ahmednagar,10
Nashik,Dhule,7
Nashik,Jalgaon,9
Nashik,Nandurbar,8
Nashik,Nashik,6
Pune,Kolhapur,15
Pune,Pune,11
Pune,Sangli,14
Pune,Satara,13
Pune,Solapur,12
